CustomerID,Recency,Frequency,MonetaryValue,Cluster
12346.0,326,2,0.0,1
12350.0,310,17,334.4,1
12353.0,204,4,89.0,1
12354.0,232,58,1079.4,1
12355.0,214,13,459.4,1
12361.0,287,10,189.9,1
12363.0,110,23,552.0,1
12365.0,291,23,320.69,1
12373.0,311,14,364.6,1
12377.0,315,77,1628.12,1
12386.0,338,10,401.9,1
12401.0,303,5,84.3,1
12402.0,323,11,225.6,1
12403.0,50,6,409.7,1
12410.0,301,28,681.0799999999999,1
12414.0,217,18,562.41,1
12418.0,113,34,668.58,1
12424.0,163,30,1760.96,1
12426.0,195,30,582.73,1
12430.0,43,11,256.4,1
12436.0,100,16,509.01,1
12441.0,367,11,173.55,1
12445.0,22,4,133.4,1
12447.0,243,26,476.49,1
12450.0,156,8,197.88,1
12453.0,134,43,707.09,1
12454.0,53,30,5.684341886080802e-14,1
12468.0,143,40,724.0400000000001,1
12489.0,336,15,334.93,1
12492.0,63,20,263.21000000000004,1
12493.0,166,23,416.79,1
12497.0,82,14,1043.1,1
12503.0,338,1,-1126.0,1
12505.0,301,1,-4.5,1
12506.0,233,23,73.5,1
12507.0,134,23,1258.06,1
12509.0,284,7,176.5,1
12510.0,143,33,982.5699999999999,1
12512.0,66,34,138.03,1
12514.0,267,51,1017.68,1
12515.0,353,16,383.7,1
12519.0,64,18,340.84,1
12521.0,143,38,599.68,1
12522.0,39,12,192.72,1
12527.0,82,18,348.71000000000004,1
12547.0,198,8,207.79999999999998,1
12548.0,166,5,95.19999999999999,1
12551.0,358,10,168.0,1
12559.0,311,22,536.21,1
12561.0,303,16,238.85,1
12564.0,261,21,456.9,1
12565.0,282,10,131.17,1
12566.0,73,20,346.7,1
12573.0,227,28,160.54000000000002,1
12574.0,316,11,218.45,1
12580.0,247,24,415.7,1
12581.0,40,15,197.71,1
12582.0,239,22,511.36,1
12588.0,39,10,214.89999999999998,1
12591.0,317,26,452.84999999999997,1
12592.0,92,18,437.6,1
12593.0,109,21,418.09999999999997,1
12601.0,190,29,569.5600000000001,1
12602.0,59,12,153.12,1
12603.0,22,3,739.1999999999999,1
12604.0,79,16,254.18,1
12605.0,365,3,-7.5,1
12614.0,278,20,315.6,1
12622.0,232,11,180.1,1
12623.0,276,18,305.1,1
12624.0,106,38,641.13,1
12639.0,239,22,486.1,1
12641.0,115,10,185.9,1
12644.0,130,31,477.91,1
12648.0,155,21,318.05,1
12649.0,107,33,603.71,1
12651.0,335,9,114.0,1
12652.0,322,51,914.53,1
12659.0,30,5,91.68,1
12665.0,325,4,61.75,1
12666.0,359,2,-227.44,1
12672.0,330,10,225.89999999999998,1
12686.0,372,7,89.14,1
12690.0,206,16,389.01,1
12693.0,121,41,830.96,1
12703.0,64,22,274.7,1
12707.0,292,33,603.42,1
12715.0,106,21,353.86,1
12718.0,71,19,238.25,1
12725.0,371,24,427.8,1
12729.0,114,26,453.01,1
12732.0,180,12,236.26000000000002,1
12733.0,234,22,383.95,1
12734.0,353,4,110.39999999999999,1
12735.0,315,43,779.5699999999999,1
12736.0,333,4,234.0,1
12738.0,372,11,155.35,1
12750.0,129,15,275.88,1
12755.0,250,6,2203.2,1
12756.0,87,4,112.07999999999998,1
12763.0,138,18,494.08,1
12764.0,317,45,1693.88,1
12769.0,239,32,1143.6,1
12770.0,211,12,1351.45,1
12789.0,65,4,91.85,1
12790.0,192,21,324.92,1
12791.0,374,2,192.60000000000002,1
12792.0,257,25,400.53999999999996,1
12793.0,335,24,545.48,1
12797.0,360,17,194.18,1
12802.0,184,26,412.58,1
12809.0,168,26,484.36,1
12811.0,261,31,514.85,1
12812.0,45,15,229.64000000000001,1
12814.0,102,2,125.92,1
12815.0,148,47,1063.46,1
12816.0,96,29,572.2,1
12817.0,281,4,166.04,1
12818.0,178,16,1517.88,1
12821.0,214,6,92.72,1
12823.0,75,5,1759.5,1
12829.0,322,12,253.05,1
12831.0,262,9,215.05,1
12833.0,145,24,417.38,1
12834.0,283,18,312.38,1
12837.0,173,12,134.1,1
12845.0,267,27,354.09,1
12851.0,97,50,135.18,1
12852.0,290,20,299.75,1
12855.0,373,3,38.1,1
12857.0,211,46,1106.4,1
12863.0,52,6,504.2,1
12864.0,138,3,147.12,1
12866.0,283,26,559.12,1
12870.0,366,2,-14.899999999999999,1
12871.0,84,11,380.64,1
12872.0,327,66,599.97,1
12873.0,282,4,374.0,1
12875.0,143,2,343.2300000000001,1
12879.0,45,12,552.5699999999999,1
12881.0,276,7,298.0,1
12884.0,88,7,309.05,1
12888.0,214,7,313.77,1
12891.0,186,3,331.0,1
12897.0,205,4,216.5,1
12902.0,265,10,138.68,1
12908.0,59,4,246.0,1
12915.0,149,22,363.65,1
12917.0,128,2,594.0,1
12922.0,161,28,405.38,1
12923.0,64,29,176.97,1
12929.0,122,9,105.1,1
12930.0,78,27,409.9,1
12938.0,26,9,114.14,1
12943.0,301,1,-3.75,1
12945.0,288,23,462.95,1
12956.0,306,19,108.07,1
12968.0,112,5,135.95,1
12974.0,198,8,144.8,1
12976.0,212,22,738.6,1
12977.0,156,9,39.239999999999995,1
